2d	..----..
hippies	.......--..--.......
his	.........
hish	.............
hisis	..............
hiss	............
hisses	................
hiveless	.........-..-.........
hns	....-....
hoagie	....---.---....
hoes	....---....
hogs	....-----....
homes	....-----....
hons	....----....
hoose	....------....
hose	....---....
hotdogs	....-----..-----....
hrh	.....-.....
hs	.......
hsh	...........
hsi	.........
hubie	......--......
hubs	......--......
hunanese	......--..--......
hurtles	......-.-.-.-......
huss	......-......
hyli	....-.--.-....
hymens	....-.----.-....
hyrie	....-.--.-....
i	..
iab	...--...
iamb	...----...
iams	...---...
ias	...-...
iasus	...-.....-...
ibid	..-.....-..
icd	..-.-.-..
ice	..-.-..
id	..-..
iddd	..-..-..-..
idel	..-....-..
idl	..-...-..
idled	..-...-...-..
ie	...
iee	....
ieee	.....
ifs	....-....
igad	..--..--..
ihi	........
ihs	.........
ii	....
iie	.....
iii	......
ile	...-...
ileus	...-.....-...
ilheus	...-.........-...
ilioneus	...-....----....-...
ilissus	...-............-...
imd	..---..
imi	..--..
immi	..----..
imtiaz	..---...---..
imune	..--..--..
incalescence	..-.-.-..-.-......-.-..-.-.-..
incentre	..-.-.-..-.-.-..
incidence	..-.-.-...-...-.-.-..
incipience	..-.-.-....--....-.-.-..
incocted	..-.-.-.----.-.-.-..
inconcocted	..-.-.-.----.-.-.----.-.-.-..
ind	..-.-..
indebted	..-.-...-...-.-..
indentee	..-.-...-.-..
indice	..-.-....-.-..
indicial	..-.-....-.-....-.-..
indienne	..-.-.....-.-..
indited	..-.-....-.-..
indued	..-.-....-.-..
indure	..-.-....-.-..
infeed	..-...-...-..
infeminine	..-...-..--..-...-..
infill	..-...-....-...-..
ingenerated	..-.--..-...-..--.-..
inhere	..-.......-..
inine	..-...-..
initialled	..-...-...-.-...-...-..
inked	..-.-.-.-..
inl	..-..-..
inlaid	..-..-...-..-..
inmore	..-.-----.-..
inne	..-.-..
innyard	..-.-.-.--.-.-.-..
insensed	..-.....-.....-..
inswathed	..-.....--.--.....-..
inteind	..-.-...-.-..
intend	..-.-.-.-..
intented	..-.-.-.-.-..
intercentral	..-.-..-.-.-..-.-.-..-.-..
interdiscal	..-.-..-.-.......-.-..-.-..
intergyral	..-.-..-.--.-.--.-..-.-..
internal	..-.-..-.-..-.-..
interne	..-.-..-.-..
interneural	..-.-..-.-....-.-..-.-..
interpreted	..-.-..-..--..-..-.-..
interrenal	..-.-..-..-..-..-.-..
interstice	..-.-..-....-..-.-..
inti	..-.-..
intice	..-.-..-.-..
intl	..-.-.-..
intoed	..-.----.-..
intransigence	..-.-.-..--......--..-.-.-..
intravital	..-.-.-..-...-..-.-.-..
intrince	..-.-.-...-.-.-..
intuited	..-.-..-..-.-..
intyre	..-.--.--.-..
invalid	..-....-.-.-....-..
invaried	..-....-.-.-....-..
inveil	..-....-....-..
inweed	..-..--..-..
iod	..----..
ione	..----..
ionone	..----.----..
ipi	...--...
ipms	...--.--...
iras	...-..-...
iri	...-...
irks	...-.-.-...
irus	...-...-...
is	.....
isch	.....-.-.....
ise	......
isee	.......
ish	.........
ishii	.............
isi	.......
isis	..........
isles	......-......
isotones	.....--------.....
iss	........
issei	...........
isseis	..............
issi	..........
issie	...........
itai	..-.-..
ital	..-.-.-..
itcz	..--.-.--..
itd	..--..
itel	..-..-..
itemed	..-.--.-..
ithiel	..-........-..
ithomiid	..-....-----....-..
itnez	..--..--..
ivis	.....-.....
iws	...--...
iyre	..-.--.-..
iz	..--..
jag	.---.---.
jawn	.---.-.---.
jayn	.---.--.---.
je	.---.
jg	.-----.
joe	.------.
jog	.--------.
jomon	.------------.
jon	.-------.
joon	.----------.
jug	.---..---.
k	-.-
ka	-.-.-
kabaka	-.-.--....--.-.-
kafta	-.-.-..-.-.-
kaka	-.-.--.-.-
kalmick	-.-.-.-..--..-.-.-.-
kanaka	-.-.--..--.-.-
kanuka	-.-.--...--.-.-
kart	-.-.-.-.-
kaska	-.-.-...-.-.-
katuka	-.-.--..--.-.-
keck	-.-.-.-.-.-
keek	-.-..-.-
keita	-.-...-.-
kelk	-.-..-..-.-
kendrick	-.-.-.-...-...-.-.-.-
kent	-.-.-.-
kenta	-.-.-.-.-
kerek	-.-..-..-.-
ket	-.-.-
keta	-.-.-.-
kft	-.-..-.-
khiva	-.-.........-.-
kieta	-.-...-.-
kirt	-.-...-.-
kiva	-.-.....-.-
kkk	-.--.--.-
klarika	-.-.-...-.-...-.-.-
klenk	-.-.-...-.-.-
kmet	-.---.-
knt	-.--.-
koa	-.----.-
kolyma	-.----.-..-.----.-
komtok	-.-----------.-
kook	-.--------.-
kota	-.-----.-
kotta	-.------.-
krock	-.-.-.----.-.-.-
kua	-.-..-.-
kva	-.-...-.-
kyak	-.--.--.--.-
laden	.-...--...-.
lae	.-...-.
lafite	.-...-..-...-.
lager	.-...---...-.
lainer	.-...-..-...-.
lair	.-...-...-.
lamden	.-...----...-.
lamiae	.-...---...-.
langer	.-...--.--...-.
langite	.-...--.--...-.
langue	.-...--.--...-.
larcin	.-...-.-.-.-...-.
larin	.-...-.-...-.
larner	.-...-.-.-...-.
larue	.-...-.-...-.
laufer	.-...-..-..-...-.
lave	.-...-...-.
laveer	.-...-...-...-.
lcdn	.-..-.-.-..-.
lcr	.-..-.-..-.
leader	.-....--....-.
leadin	.-....--....-.
leavier	.-....-...-....-.
leden	.-...-...-.
lederer	.-...-....-...-.
lederite	.-...-....-...-.
ledidae	.-...-....-...-.
leef	.-......-.
leer	.-.....-.
leerier	.-.....-.....-.
leesen	.-........-.
leeser	.-.........-.
lefsen	.-.....-.....-.
leger	.-...--...-.
legger	.-...--.--...-.
leggin	.-...--.--...-.
lehr	.-........-.
leif	.-.......-.
leiser	.-..........-.
leler	.-....-....-.
lemper	.-...--.--...-.
len	.-...-.
lenin	.-...-...-.
leninite	.-...-...-...-.
leonite	.-...----...-.
ler	.-....-.
leschen	.-......-.-......-.
lessen	.-..........-.
lesser	.-...........-.
lessive	.-..............-.
lessn	.-.........-.
leste	.-......-.
lete	.-...-.
leve	.-......-.
lewder	.-....---....-.
lf	.-....-.
libeler	.-....-.....-....-.
libr	.-....-....-.
lidder	.-....-..-....-.
lief	.-.......-.
liegier	.-.....--.....-.
lien	.-.....-.
lier	.-......-.
lieue	.-.......-.
lieve	.-........-.
lif	.-......-.
lihue	.-..........-.
liin	.-......-.
limier	.-....--....-.
lin	.-....-.
linder	.-....-.-....-.
linkier	.-....-.-.-....-.
linolin	.-....-.---.-....-.
lintier	.-....-.-....-.
lippier	.-.....--..--.....-.
lir	.-.....-.
lite	.-....-.
live	.-.......-.
lmf	.-..--..-.
ln	.-..-.
lnr	.-..-..-.
lof	.-..---..-.
loin	.-..---..-.
loof	.-..------..-.
loomer	.-..--------..-.
looter	.-..-------..-.
lotter	.-..-----..-.
lpf	.-...--...-.
lr	.-...-.
lsr	.-......-.
ltf	.-..-..-.
luben	.-....--....-.
lue	.-....-.
lustier	.-....-...-....-.
lutsen	.-....--....-.
lxe	.-..-..-.
lyrae	.-..-.--.-..-.
lysimeter	.-..-.--.....--.-..-.
m	--
maat	--.-.--
mackay	--.--.-.-.-.--.--
maely	--.-..-..-.--
mafey	--.-..-..-.--
maidly	--.-..-...-..-.--
maidy	--.-..-..-.--
mainly	--.-..-..-..-.--
maisey	--.-......-.--
makeshifty	--.--.-............-.--.--
maleeny	--.-.-....-.-.--
mammotomy	--.---------------.--
mammy	--.------.--
mamoty	--.--------.--
manity	--.--...--.--
manky	--.--.-.--.--
manty	--.--.--.--
mappy	--.-.--..--.-.--
marbury	--.-.-.-.....-.-.-.--
marcy	--.-.-.-.-.-.--
marm	--.-.-.--
marry	--.-.-..-.-.--
martyry	--.-.-.--.--.-.-.--
mary	--.-.-.-.--
mashy	--.-.......-.--
massey	--.-.......-.--
massy	--.-......-.--
mastat	--.-...-.--
mat	--.--
matty	--.----.--
maty	--.---.--
maudy	--.-..--..-.--
maurey	--.-..-.-..-.--
maw	--.-.--
maxy	--.--..--.--
may	--.--.--
mbo	---...---
meat	--..--
medley	--.-...-...-.--
meerut	--...-...--
mem	--.--
mentary	--.-.-.-.-.-.--
mentery	--.-.-..-.-.--
meny	--.-.-.--
meow	--.---.--
merat	--..-..--
mercat	--..-.-.-..--
mesem	--.....--
metallary	--.-.-.-...-...-.-.-.--
metely	--.-..-..-.--
metonymy	--.-----.-.-----.--
metrify	--.-.-.....-.-.--
metty	--.---.--
mew	--..--
mhw	--.....--
miasm	--...-...--
miett	--...--
mim	--..--
miseat	--.......--
misseat	--..........--
misseem	--..........--
mitt	--..--
